Έτος αναφοράς	Εβδομάδα	Χώρα	Περιφέρειες (NUTS2)	κωδ. NUTS2	Περ. Ενότητες (NUTS3)	κωδ. NUTS3	Κατηγορίες Αγροτικών Προϊόντων	Αγροτικά Προϊόντα	Ποσότητα (σε τόνους)
2018	w02	Ισπανία	Ισπανία	724	Ισπανία	724	 Δενδρώδεις καλλιέργειες - Οπωροφόρα	Αχλαδιές	13.7546
2018	w03	Ισπανία	Ισπανία	724	Ισπανία	724	 Δενδρώδεις καλλιέργειες - Οπωροφόρα	Αχλαδιές	13.7546
2018	w04	Ισπανία	Ισπανία	724	Ισπανία	724	 Δενδρώδεις καλλιέργειες - Οπωροφόρα	Αχλαδιές	13.7546
2018	w05	Ισπανία	Ισπανία	724	Ισπανία	724	 Δενδρώδεις καλλιέργειες - Οπωροφόρα	Αχλαδιές	13.7546
2018	w01	Ισπανία	Ισπανία	724	Ισπανία	724	Πεπονοειδή και πατάτες	Καρπούζια	0.4118
2018	w02	Ισπανία	Ισπανία	724	Ισπανία	724	Πεπονοειδή και πατάτες	Καρπούζια	0.4118
2018	w03	Ισπανία	Ισπανία	724	Ισπανία	724	Πεπονοειδή και πατάτες	Καρπούζια	0.4118
2018	w04	Ισπανία	Ισπανία	724	Ισπανία	724	Πεπονοειδή και πατάτες	Καρπούζια	0.4118
2018	w05	Ισπανία	Ισπανία	724	Ισπανία	724	Πεπονοειδή και πατάτες	Καρπούζια	0.4118
2018	w01	Γαλλία	Γαλλία	251	Γαλλία	251	 Δενδρώδεις καλλιέργειες - Ακρόδρυα	Αμυγδαλιές	0.1308
2018	w02	Γαλλία	Γαλλία	251	Γαλλία	251	 Δενδρώδεις καλλιέργειες - Ακρόδρυα	Αμυγδαλιές	0.1308
2018	w03	Γαλλία	Γαλλία	251	Γαλλία	251	 Δενδρώδεις καλλιέργειες - Ακρόδρυα	Αμυγδαλιές	0.1308
2018	w04	Γαλλία	Γαλλία	251	Γαλλία	251	 Δενδρώδεις καλλιέργειες - Ακρόδρυα	Αμυγδαλιές	0.1308
2018	w05	Γαλλία	Γαλλία	251	Γαλλία	251	 Δενδρώδεις καλλιέργειες - Ακρόδρυα	Αμυγδαλιές	0.1308
2018	w01	Γαλλία	Γαλλία	251	Γαλλία	251	Λαχανικά	Καρότα	5.318
2018	w02	Γαλλία	Γαλλία	251	Γαλλία	251	Λαχανικά	Καρότα	5.318
2018	w03	Γαλλία	Γαλλία	251	Γαλλία	251	Λαχανικά	Καρότα	5.318
2018	w04	Γαλλία	Γαλλία	251	Γαλλία	251	Λαχανικά	Καρότα	5.318
2018	w05	Γαλλία	Γαλλία	251	Γαλλία	251	Λαχανικά	Καρότα	5.318
2018	w01	Γαλλία	Γαλλία	251	Γαλλία	251	Σιτηρά για καρπό	Αραβόσιτος	122.9756
